fullName,htmlUrl,stars,topics,watchers,topicCount,kind
JetBrains/teamcity-docker-samples,https://github.com/JetBrains/teamcity-docker-samples,82,"[docker-compose, teamcity, teamcity-agent, teamcity-server]",82,4,Other
JetBrains/rd,https://github.com/JetBrains/rd,279,[hacktoberfest],279,1,Other
JetBrains/toolbox-browser-extension,https://github.com/JetBrains/toolbox-browser-extension,73,[],73,0,Other
JetBrains/kotlinconf-app,https://github.com/JetBrains/kotlinconf-app,2628,[],2628,0,Kotlin
JetBrains/MPS-extensions,https://github.com/JetBrains/MPS-extensions,57,[],57,0,Other
JetBrains/http-request-in-editor-spec,https://github.com/JetBrains/http-request-in-editor-spec,66,[],66,0,Other
JetBrains/KotlinMultiplatformPlayground,https://github.com/JetBrains/KotlinMultiplatformPlayground,62,[],62,0,Kotlin
JetBrains/java-annotations,https://github.com/JetBrains/java-annotations,226,[],226,0,Other
JetBrains/clion-wsl,https://github.com/JetBrains/clion-wsl,116,[],116,0,Other
JetBrains/jetCheck,https://github.com/JetBrains/jetCheck,74,[],74,0,Other
JetBrains/jetbrains_guide,https://github.com/JetBrains/jetbrains_guide,145,[hacktoberfest],145,1,Other
JetBrains/resharper-rider-plugin,https://github.com/JetBrains/resharper-rider-plugin,90,[],90,0,Other
JetBrains/JetBrainsRuntime,https://github.com/JetBrains/JetBrainsRuntime,370,"[intellij-platform, jdk, openjdk]",370,3,Other
JetBrains/origami,https://github.com/JetBrains/origami,109,[],109,0,Other
JetBrains/jcef,https://github.com/JetBrains/jcef,66,[],66,0,Other
JetBrains/teamcity-unity-plugin,https://github.com/JetBrains/teamcity-unity-plugin,53,"[teamcity-plugin, teamcity-runner, unity, unity3d]",53,4,Other
JetBrains/UnrealLink,https://github.com/JetBrains/UnrealLink,60,[],60,0,Other
JetBrains/lets-plot-kotlin,https://github.com/JetBrains/lets-plot-kotlin,228,"[data-science, geotools, ggplot, graphics, jupyter, jupyter-notebook, jupyter-notebooks, jvm, kotlin, kotlin-api, kotlin-js, kotlin-kernel, plot, plot-kotlin, plot-library, statistical-data]",228,16,Kotlin
JetBrains/JetBrainsMono,https://github.com/JetBrains/JetBrainsMono,6059,"[coding-font, font, ligatures, monospaced-font, programming-font, programming-ligatures]",6059,6,Other
JetBrains/lets-plot,https://github.com/JetBrains/lets-plot,699,"[data-science, data-visualization, datalore, geo-spatial, ggplot, jupyter, jupyter-notebooks, kotlin, plot, plot-library, pycharm, python, sciview, sciview-plugin, statistical-data]",699,15,Kotlin
JetBrains/kotless,https://github.com/JetBrains/kotless,886,"[devops, faas, gradle-plugin, kotlin, lambda, serverless, web]",886,7,Kotlin
JetBrains/web-types,https://github.com/JetBrains/web-types,169,[],169,0,Other
JetBrains/clion-remote,https://github.com/JetBrains/clion-remote,74,[],74,0,Other
JetBrains/open-radiant,https://github.com/JetBrains/open-radiant,63,[],63,0,Other
JetBrains/kotlin-mobile-docs,https://github.com/JetBrains/kotlin-mobile-docs,55,[],55,0,Kotlin
JetBrains/intellij-platform-plugin-template,https://github.com/JetBrains/intellij-platform-plugin-template,1133,"[intellij, intellij-idea, intellij-idea-plugin, intellij-platform, intellij-plugin, intellij-plugins, jetbrains-plugin]",1133,7,IntelliJ
JetBrains/godot-support,https://github.com/JetBrains/godot-support,108,[],108,0,Other
JetBrains/KotlinDL,https://github.com/JetBrains/KotlinDL,695,"[deeplearning, gpu, kotlin, tensorflow]",695,4,Kotlin
JetBrains/intellij-sdk-code-samples,https://github.com/JetBrains/intellij-sdk-code-samples,412,"[intellij, intellij-idea, intellij-platform, intellij-plugin, intellij-plugins, intellij-sdk, jetbrains, jetbrains-plugin, jetbrains-plugins]",412,9,IntelliJ
JetBrains/skija,https://github.com/JetBrains/skija,2242,"[2d, graphics, java, skia]",2242,4,Other
JetBrains/golandtipsandtricks,https://github.com/JetBrains/golandtipsandtricks,96,[],96,0,Other
JetBrains/gradle-changelog-plugin,https://github.com/JetBrains/gradle-changelog-plugin,142,"[changelog, gradle, gradle-changelog-plugin, gradle-plugin, intellij, intellij-platform, intellij-plugin, jetbrains]",142,8,IntelliJ
JetBrains/projector-docker,https://github.com/JetBrains/projector-docker,1853,"[awt, docker, swing]",1853,3,Other
JetBrains/projector-server,https://github.com/JetBrains/projector-server,1025,"[awt, swing]",1025,2,Other
JetBrains/projector-client,https://github.com/JetBrains/projector-client,701,"[awt, swing]",701,2,Other
JetBrains/kotlin-spark-api,https://github.com/JetBrains/kotlin-spark-api,257,"[bigdata, kotlin, nullability, scala, spark]",257,5,Kotlin
JetBrains/php-timeline,https://github.com/JetBrains/php-timeline,207,[],207,0,Other
JetBrains/phpstorm-psalm-plugin,https://github.com/JetBrains/phpstorm-psalm-plugin,121,"[phpstorm, psalm]",121,2,Other
JetBrains/phpstorm-phpstan-plugin,https://github.com/JetBrains/phpstorm-phpstan-plugin,126,"[phpstan, phpstorm]",126,2,Other
JetBrains/projector-installer,https://github.com/JetBrains/projector-installer,655,"[awt, swing]",655,2,Other
JetBrains/intellij-kotlin,https://github.com/JetBrains/intellij-kotlin,68,[],68,0,Kotlin
JetBrains/skiko,https://github.com/JetBrains/skiko,519,[],519,0,Other
JetBrains/bazel-bsp,https://github.com/JetBrains/bazel-bsp,52,"[bazel-bsp, bsp, bsp-server, build-server-protocol, compilation-diagnostics, diagnostics]",52,6,Other
JetBrains/compose-jb,https://github.com/JetBrains/compose-jb,6805,"[android, awt, compose, declarative-ui, desktop, gui, javascript, kotlin, multiplatform, reactive, swing, ui]",6805,12,Kotlin
JetBrains/compose-for-web-demos,https://github.com/JetBrains/compose-for-web-demos,175,[],175,0,Other
JetBrains/phpstorm-attributes,https://github.com/JetBrains/phpstorm-attributes,220,"[php8, phpstorm]",220,2,Other
JetBrains/Qodana,https://github.com/JetBrains/Qodana,335,"[ci-cd, code-inspection, qodana]",335,3,Other
JetBrains/qodana-action,https://github.com/JetBrains/qodana-action,80,[],80,0,Other
JetBrains/androidx,https://github.com/JetBrains/androidx,51,[],51,0,Other
